MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1787,671,MILFORD STREET,SHAWMUT AVENUE,TREMONT STREET,1S,12:00:00.0000000,16:00:00.0000000,Odd,0.1345,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1788,2720,MILK STREET,WASHINGTON STREET,ATLANTIC AVENUE,1F,00:01:00.0000000,07:00:00.0000000,,0.4195,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
1789,350,PAUL GORE STREET,CENTRE STREET,LAMARTINE STREET,2,08:00:00.0000000,12:00:00.0000000,Even,0.3795,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1790,1938,PRICE ROAD,GLENVILLE AVENUE,LONG AVENUE,4,08:00:00.0000000,12:00:00.0000000,Odd,0.058,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1791,1110,MILLET STREET,PARK STREET,TALBOT AVENUE,7,12:00:00.0000000,16:00:00.0000000,Even,0.2271,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1792,1864,PLAYSTEAD ROAD,SAVIN HILL AVENUE,SPRINGDALE STREET,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0674,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1793,598,PORTER STREET,CHELSEA STREET,COTTAGE STREET,9,08:00:00.0000000,12:00:00.0000000,Even,0.2316,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1794,2184,MILLET STREET,PARK STREET,TALBOT AVENUE,7,12:00:00.0000000,16:00:00.0000000,Odd,0.2271,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1795,1217,MILLET STREET,TALBOT AVENUE,SOUTHERN AVENUE,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0979,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1796,1451,MILLET STREET,TALBOT AVENUE,SOUTHERN AVENUE,7,08:00:00.0000000,12:00:00.0000000,Even,0.0979,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1797,770,MILLMONT STREET,HIGHLAND AVENUE,LAMBERT AVENUE,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.142,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1798,1391,MILLMONT STREET,HIGHLAND AVENUE,LAMBERT AVENUE,10R,08:00:00.0000000,12:00:00.0000000,Even,0.142,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1799,460,MILLS STREET,ROCKLAND STREET,DALE STREET,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.0862,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1800,23,MILTON AVENUE,WOODROW AVENUE,NORFOLK STREET,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0708,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1801,1491,MILTON AVENUE,WOODROW AVENUE,NORFOLK STREET,7,08:00:00.0000000,12:00:00.0000000,Even,0.0708,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
