partner_id,partner_name,name,address,lat,lon,head,id
5152,Parking Panda,Excellent Parking LLC,155 E 29th St,40.742774,-73.9808787,1.72,d9TNIkjGS5lG5xIvZ7XH2w
4873,Parking Panda,111 Eighth Ave Parking,385 W 15th St,40.7414605,-74.0044733,341.45,OHT8NuN-BA7vK95T2BFFHQ
5290,Parking Panda,Vincent 15 Parking LLC,111 W 15th St,40.7382847,-73.9969463,15.47,9JH5n_5jcnlwG9E46emprQ
2613,Parking Panda,670 West 43rd Street,670 West 43rd Street,40.7623466,-73.9997924,206.05,j5erb5EPAt-wk5fGkcY76w
5116,Parking Panda,14th & 8th Parking LLC,309 W 14th St,40.7399604,-74.0030491,19.35,5psqkY-WiZEzTZRdrmRQ-w
5046,Parking Panda,Market 15 Parking LLC,65 W 15th St,40.7378396,-73.995897,37.5,s-_8IV5PpHRDIpGLdG7KpQ
5296,Parking Panda,Management Systems Parking LLC,200 E 32nd St,40.7442756,-73.9786584,207.57,gj1pcoPETeeB_032lxplfA
5140,Parking Panda,Creative Parking LLC,16 W 16th St,40.736919,-73.9937004,347.79,IPiTOs_iwUFmUj7Sfyt68w
5051,Parking Panda,MHM Parking LLC,560 3rd Ave,40.7479349,-73.9765289,329.15,gBwzHBtgKYfcwPg9aB19uA
4891,Parking Panda,Mercury Parking LLC,350 W 50th St,40.7633427,-73.9886108,197.76,o7HAhEWubGSVLP_rUkYJIw
5031,Parking Panda,Theater 50 Parking LLC,307 W 50th St,40.7625765,-73.9867544,70.44,0kyUUQ2zQHITel10HQ1Z6w
5275,Parking Panda,Universal Parking LLC,55 W 14th St,40.7370171,-73.9960102,347.45,EZJDPbKXvtVbdW0f_EIulg
5267,Parking Panda,Tunnel 34 Parking LLC,222 E 34th St,40.7453843,-73.9773254,229.6,8Fn8XO3ACDicvh1cVCsDSQ
5118,Parking Panda,Primary Parking LLC,721 10th Ave,40.7641097,-73.9923694,353.28,tLsdmHj5Za8FtnQ9ZSATsQ
4871,Parking Panda,HJ Parking LLC,851 8th Ave,40.7629368,-73.985698,351.72,L-5JkyL5D2ua0whU6pbPRQ
2243,Parking Panda,11 Jane Street,11 Jane Street,40.738129,-74.0029054,313.18,USlHPLsPHb2QmXHeZwwYGQ
4884,Parking Panda,Circle Parking LLC,206 W 52nd St,40.7625804,-73.9829075,169.6,MdgfIHHx8htWyISdA8LEAA
2249,Parking Panda,25 West 13th Street,25 West 13th Street,40.7359611,-73.9957111,355.21,xUcVXr74-kExEW3AG8gcxg
3243,Parking Panda,354 W 52nd St,354 W 52nd St,40.7643975,-73.9872329,175.2,L8RGDFf9TsPxikkMpU_LIw
5144,Parking Panda,Dynamic Parking LLC,241 E 40th St,40.7490494,-73.9743594,74.41,XM56UT-2Zp3pw4EyTIdkQA
5313,Parking Panda,Kips Bay 27 Parking LLC,240 E 27th St,40.740531,-73.9793896,242.04,WngoSliEsTTAnJwlxxy3tA
4890,Parking Panda,Matinee 52 LLC,1676 Broadway,40.7630478,-73.9830786,132.84,QqCmyCsYw-GAc1qoWe1H3w
5380,Parking Panda,Hudson View Garage LLC,520 W 51st St,40.76555,-73.9919456,254.78,10MCqVzckay5KXLhLGpsxA
5079,Parking Panda,Park-Serv LLC,140 W 53rd St,40.7624886,-73.9807526,260.35,KV6XTAZr7UZfoFGkhn1mog
4895,Parking Panda,Reality Parking LLC,281 W 53rd St,40.7639741,-73.9842708,18.15,t_Zg0uXpa8Zqiz1eoz1xGw
5295,Parking Panda,West Plaza Garage LLC-26,301 E 26th St,40.7396396,-73.9792087,30.93,Pj2airUCG04j_3g5kXyIhg
5229,Parking Panda,245 E 40th St Parking LLC,245 E 40th St,40.7488009,-73.9737837,76.03,4rTglrybd34QOrO7UXSRzA
5246,Parking Panda,South Plaza Garage LLC,314 E 26th St,40.7395524,-73.9789975,180.81,o4NBhbcp1KXo_FzPhZ3TXg
4898,Parking Panda,Union 16 Parking LLC,110 E 16th St,40.7356328,-73.9886519,171.89,VvL_5sJsypUul0MNCYRsfQ
5264,Parking Panda,Tower 25 Parking LLC,300 E 24th St,40.7388718,-73.9792906,245.17,q-WGIbcv_Vzm-zJtwV0Ydw
4904,Parking Panda,West Plaza Garage LLC-29,300 E 29th St,40.7411937,-73.9771355,219.72,UCC9Q6GYWJ5L5mu35Ec57g
5393,Parking Panda,Gramercy 24 Parking LLC,409 2nd Ave,40.7384228,-73.9805178,241.29,KqTZ0MZTO8vzpw8ji1yvtw
5367,Parking Panda,Innovative Parking LLC,305 E 40th St,40.7482266,-73.9724258,79.91,rexT6P1P1YgruWhcsG6xQg
5136,Parking Panda,Command Parking LLC,216 W 54th St,40.7639381,-73.9822439,157.4,Kuw4pln_qMqe6qHo4P-DRw
5181,Parking Panda,205 Third Parking LLC,212 E 19th St,40.7361204,-73.9843772,226.33,NrF_xvPwIlDGXwI8pgoKLA
4875,Parking Panda,1330 Sixth Parking LLC,59 W 53rd St,40.7615923,-73.9786157,16.09,25J0C39lzKY15f5vvwpdQw
5060,Parking Panda,Modern Parking LLC,20 W 53rd St,40.7608088,-73.97677,252.31,0MlBGWKC6tseCHY07P4x6g
4902,Parking Panda,Noble Parking LLC,302 E 40th St,40.7482266,-73.9724258,58.88,u65QBMxSCvXwgR2rWVff4w
5176,Parking Panda,18th and Third Parking LLC,202 E 18th St,40.7356188,-73.984997,175.31,eKuovbHX_Jm4hGWzQI74JA
5114,Parking Panda,Clinton 53 Parking LLC,504 W 53rd St,40.7667199,-73.9908124,209.57,N6aMCQaPSC1sOuMR4HijrQ
5182,Parking Panda,Realpro Parking LLC,330 E 39th St,40.7471448,-73.9717805,213.78,bufgGTeIwguPVs5HTIeL0g
3408,Parking Panda,575 1st Ave,575 1st Ave,40.7426298,-73.9743542,336.13,aJyeWTfhmWuMCVPnpPt9OQ
5147,Parking Panda,East Plaza Garage LLC,479 1st Ave,40.7401892,-73.9766481,32.05,CvXG8xpgaSZ7lVYglnvTfA
2123,Parking Panda,211 E 18th St,211 E 18th St,40.7354974,-73.9847059,29.33,gwRNh3AFHhqtmVgohU2Q9g
5233,Parking Panda,2nd and 22nd Parking LLC,311 E 22nd St,40.7369174,-73.9807046,57.38,EIDu0Tb3yQsJF58zhp-j_A
5106,Parking Panda,1350 Sixth Parking LLC,47 W 54th St,40.762631,-73.9771995,265.62,HfgZoUKTCcp13d8RL3oEbw
5226,Parking Panda,245 E 19th St PKG LLC,245 E 19th St,40.7356185,-73.9831862,3.29,EydYZX2yXmsqPjEjdxUZ8g
