id_trc,rue_nom,rue_de,rue_a,id_trc_pair,rule_pair_1,rule_pair_2,id_trc_impair,rule_impair_1,rule_impair_2
1601594,Beurling,Moffat,Manning,16015942,MTLVER-06,MTLVER-36,16015941,MTLVER-04,MTLVER-39
1601596,Beurling,Osborne,Beatty,16015962,MTLVER-06,MTLVER-36,16015961,MTLVER-04,MTLVER-39
1601606,Beurling,Rolland,Stephens,16016062,MTLVER-06,MTLVER-36,16016061,MTLVER-04,MTLVER-39
1601608,Beurling,Stephens,Lim. Hôpital Douglas,16016082,MTLVER-06,MTLVER-36,16016081,MTLVER-04,MTLVER-39
1601604,Beurling,Valiquette,Rolland,16016042,MTLVER-06,MTLVER-36,16016041,MTLVER-04,MTLVER-39
4008060,Brassard,cul-de-sac,Lasalle,40080602,MTLVER-07,MTLVER-33,40080601,MTLVER-18,MTLVER-32
1601524,Brault,Lasalle,Verdun,16015242,MTLVER-ARR,,16015241,MTLVER-NP,
1601514,Brault,Verdun,Bannantyne,16015142,MTLVER-02,MTLVER-35,16015141,MTLVER-01,MTLVER-37
"4001549,4005891,4005892",Brises du fleuve,Galt,Cul-de-sac,"40015492,40058912,40058922",MTLVER-08,MTLVER-32,"40015491,40058911,40058921",MTLVER-23,MTLVER-33
"1601572,1601621",Brown (nord),Bannantyne,Beurling,"16015722,16016212",MTLVER-01,MTLVER-37,"16015721,16016211",MTLVER-02,MTLVER-35
"1601586,1601589",Brown (nord),Beurling,Champlain,"16015862,16015892",MTLVER-01,MTLVER-37,"16015861,16015891",MTLVER-02,MTLVER-35
"1601597,1601598",Brown (sud),Bannantyne,Beurling,"16015972,16015982",MTLVER-02,MTLVER-35,"16015971,16015981",MTLVER-01,MTLVER-37
"1601587,1601590",Brown (sud),Beurling,Champlain,"16015872,16015902",MTLVER-02,MTLVER-35,"16015871,16015901",MTLVER-01,MTLVER-37
1601173,Caisse,Evelyn,Verdun,16011732,MTLVER-09,MTLVER-33,16011731,MTLVER-27,MTLVER-32
1601177,Caisse,Gertrude,Evelyn,16011772,MTLVER-09,MTLVER-33,16011771,MTLVER-27,MTLVER-32
1601180,Caisse,Lasalle,Gertrude,16011802,MTLVER-NP,,16011801,MTLVER-NP,
"4010516,4000985",Caisse,Rushbrooke,LaSalle,"40105162,40009852",MTLVER-ARR,,"40105161,40009851",MTLVER-ARR,
1601172,Caisse,Verdun,Joseph,16011722,MTLVER-09,MTLVER-33,16011721,MTLVER-27,MTLVER-32
"4000983,4010515",Caisse (autobus),Rushbrooke,LaSalle,"40009832,40105152",MTLVER-BUS,,"40009831,40105151",MTLVER-BUS,
1601577,Champlain,Argyle,Woodland,16015772,MTLVER-NP,,16015771,MTLVER-29,MTLVER-42
